Rank,Name,City,Position,Points,Games,Minutes,Rebounds,Assists,Steal,Block
286,Taurean Prince,Mil,F,31,71,26.9,13.9,2,0.9,0.2
287,Sam Hauser,Bos,F,27.3,62,21.3,4.8,0.9,0.6,0.2
288,Ja'Kobe Walter,Tor,G,20.6,46,20.3,10.9,1.4,0.7,0.2
289,Day'Ron Sharpe,Bro,C,23.4,50,18.2,16.6,1.8,0.8,0.8
290,Kevin Huerter,Sac,G-F,26.6,43,20.9,10.7,1.7,0.8,0.4
291,Matas Buzelis,Chi,F,20.5,71,17.6,10.9,0.8,0.3,0.8
292,GG Jackson,Mem,F,20.3,25,16.3,13.7,1,0.4,0.2
293,Justin Champagnie,Was,G-F,23.7,53,19.9,11.9,0.9,1,0.6
294,Cody Martin,Cha,F,29.5,39,24.8,13.5,2.3,1.1,0.7
295,Tristan Vukcevic,Was,F,22,28,12.2,13.5,1,0.4,0.6
296,Lonnie Walker IV,Phi,G-F,26.3,11,18.5,12.7,1.8,0.5,0.3
297,Orlando Robinson,Tor,C,24.7,28,19.6,16.6,1.8,0.4,0.5
298,Dalano Banton,Por,F,25.4,59,14.7,14.8,2.1,0.7,0.5
299,Lonzo Ball,Chi,G,27.4,35,22.2,14.4,3.3,1.3,0.5
300,Richaun Holmes,Was,F,31.5,29,17.8,13.6,1.4,0.3,0.8
301,Vasilije Micic,Cha,G,31.2,36,21.2,21.3,3.5,0.4,0
302,A.J. Green,Mil,G,25.5,65,22.6,8.8,1.5,0.6,0.1
303,Josh Green,Cha,G,24.4,65,28.2,13.6,1.6,1.1,0.2
304,Garrison Mathews,Atl,G,28.4,46,17.2,10.5,1.3,0.6,0.3
305,Shake Milton,Bro,G,28.5,27,18.2,11.3,2.4,0.6,0
306,Bruce Brown,Nor,G-F,28.6,17,23.8,11.2,2.4,0.7,0.1
307,Colby Jones,Was,G,22.8,8,19.5,13.6,1.9,1.1,0.5
308,Jake LaRavia,Mem,F,23.4,47,20.9,22.2,2.8,0.9,0.4
309,Goga Bitadze,Orl,C-F,25.7,63,20.9,18.1,1.9,0.7,1.5
310,Dorian Finney-Smith,Lal,F,31.9,35,28.3,13.3,1.2,1,0.2
311,Andre Drummond,Phi,C,31.6,40,18.8,19,0.9,1,0.5
312,AJ Johnson,Was,G,20.3,13,21.1,13.1,3.1,0.5,0.1
313,Tristan da Silva,Orl,F,23.9,69,22.2,10.6,1.5,0.4,0.2
314,Bones Hyland,Lac,G,24.5,20,11.1,17.3,1.4,0.9,0.2
315,Sam Merrill,Cle,G,28.9,64,19.5,7.2,1.5,0.7,0.2
316,Jaxson Hayes,Lal,C-F,24.8,48,20,15.4,1.1,0.6,1
317,Bol Bol,Pho,C-F,25.4,33,13.1,9.2,0.6,0.3,0.8
318,Jusuf Nurkic,Cha,C,30.6,17,16.9,17.9,2.4,0.7,0.7
319,Ricky Council IV,Phi,G,23.7,64,16.4,9.4,1.3,0.5,0.2
320,Jay Huff,Mem,C,27.6,58,12,9.8,0.6,0.2,0.9
321,Thomas Bryant,Ind,C-F,27.7,47,15.4,9.3,1,0.5,0.5
322,Kelly Olynyk,Tor,F-C,33.9,24,16,22.8,2.3,0.7,0.3
323,Cole Swider,Tor,F,25.9,1,19.7,0,0,1,0
324,Marcus Garrett,Cha,G,26.4,4,19.9,18,3.3,0.8,0.5
325,KJ Simpson,Cha,G,22.6,26,20.8,16.6,2.7,0.8,0.2
326,Vince Williams Jr.,Mem,G,24.6,21,18.7,17.3,2,0.5,0.2
327,Isaiah Jackson,Ind,F,23.2,5,16.8,17.7,1,0.6,1.6
328,Cameron Payne,Nyk,G,30.6,66,14.9,10.2,2.7,0.5,0.2
